1.8017,8.8909,0.191,0
1.8017,9.0442,0.26764,0
1.8017,9.0442,0.15268,0
1.8783,8.8909,0.15268,0
1.8783,9.0442,0.22932,0
1.8783,8.9292,0.3826,0
1.9933,8.8143,0.49757,0
2.1849,8.7759,0.42092,0
2.2232,9.0059,0.22932,0
2.2232,8.9676,0.11436,0
2.2232,9.0825,0.3826,0
2.2232,8.7759,0.57421,0
2.7213,8.5843,-0.26884,0
3.0662,8.8526,-0.038919,0
3.2195,8.5843,0.3826,0
2.9129,8.2011,0.30596,0
2.8363,8.3927,0.30596,0
2.9513,8.546,0.11436,0
3.0662,8.6227,0.53589,0
3.0662,8.661,0.30596,0
3.1045,8.3544,-0.1922,0
3.0279,8.2395,-0.1922,0
3.1812,8.4311,-0.23052,0
3.0279,8.7759,-0.077239,0
2.8746,9.0059,0.45925,0
3.0662,8.4694,0.84245,0
3.6027,8.2395,0.88077,0
4.2542,8.2011,0.72749,0
4.7906,8.3161,0.72749,0
4.6374,8.4311,0.49757,0
4.5224,8.5077,-0.077239,0
4.1392,9.0825,-0.80533,0
2.6447,9.3508,-0.95861,0
1.6867,9.0825,-0.84365,0
1.3418,8.5077,-0.42212,0
0.65204,8.4694,0.72749,0
0.61372,9.6573,1.7238,0
1.8783,13.604,1.3406,0
2.2998,12.416,1.7621,0
3.0279,10.692,2.4136,0
3.4877,10.041,2.5285,0
3.9476,8.4694,2.9117,0
3.6027,9.0059,3.4865,0
3.6027,9.8489,3.7165,0
3.6793,10.117,3.7931,0
3.0662,7.3198,3.7165,0
2.7213,6.0169,3.6015,0
2.1849,5.8636,3.8314,0
2.0699,6.5151,4.5595,0
2.683,8.6227,5.3642,0
3.2195,8.2395,5.2493,0
3.2195,7.2815,5.096,0
2.9513,6.63,4.9044,0
2.5681,5.4038,4.7894,0
2.2615,5.1738,4.7511,0
1.9933,4.9056,4.8278,0
1.7633,4.829,4.8661,0
1.2268,4.4841,4.5595,0
1.1119,4.4841,4.6745,0
1.3418,4.3691,4.4829,0
1.3418,4.6757,4.9044,0
1.4951,5.3654,4.9044,0
2.0699,5.787,5.0194,0
2.1849,5.8636,5.6325,0
2.5681,5.9786,6.1307,0
3.2578,6.2851,6.3989,0
4.3691,6.5151,6.7438,0
4.7523,6.3618,7.3569,0
4.3308,6.1702,8.1616,0
3.6027,6.4767,7.7401,0
2.9513,13.604,8.4682,0
4.1392,14.907,9.6178,0
2.4914,13.106,7.7401,0
-0.49757,8.8143,4.8278,0
0.038919,4.829,1.2257,0
1.1502,5.2888,1.3406,0
1.6101,6.7833,2.0687,0
2.4531,8.9676,2.3753,0
4.0242,11.65,2.7201,0
2.8746,10.577,2.8734,0
2.1465,8.3927,2.6052,0
2.4531,6.63,1.4939,0
3.0662,5.672,0.45925,0
4.0242,6.0552,-0.49876,0
4.3308,7.1282,-0.3838,0
4.2158,8.1628,0.26764,0
3.9859,8.3161,0.45925,0
2.5681,7.7796,-0.42212,0
2.5681,7.0515,-0.42212,0
2.5681,7.0132,-0.077239,0
2.9513,8.0095,0.26764,0
4.4841,9.2358,-0.30716,0
4.3691,8.9292,-0.49876,0
4.2158,8.0479,-1.2652,0
4.1775,7.6263,-1.3035,0
4.599,7.5497,0.11436,0
4.714,7.7413,-0.15388,0
5.2122,7.8563,-0.00059875,0
5.3271,8.4311,0.34428,0
5.0972,9.0442,0.30596,0
4.9056,9.2741,0.57421,0
4.6374,9.1975,0.68917,0
4.2925,9.0059,0.57421,0
3.7177,9.3508,-0.077239,0
3.871,10.079,0.076042,0
4.5607,10.692,-0.15388,0
5.672,12.378,-1.9166,0
7.0132,12.033,-1.6867,0
5.0589,14.026,-1.5717,0
4.6374,12.301,-0.46044,0
2.798,11.228,1.4173,0
1.2268,10.577,-0.69036,0
1.5334,9.4274,0.68917,0
1.8017,9.1208,0.95741,0
2.1465,8.661,1.034,0
2.8363,8.3927,1.0724,0
3.3345,8.1628,0.88077,0
3.5261,8.5077,1.1107,0
3.5261,8.6993,1.4556,0
3.4494,7.9329,1.6472,0
